Country, Variable, Unit, Symbol,"""2020""",
Benin,Prevalence of undernourishment (3-year average), %, X,7.7,
Benin, Rural population,1000 inhab, X,6253.68,
Benin,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,70.47,
Benin,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.69,
Benin,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,48.97,
Benin,SDG 6.4.1. Water Use Efficiency,US$/m3, I,39.55,
Benin,SDG 6.4.2. Water Stress, %, E,0.98,
Benin, Services, value added to GDP, current US$, X,7470952796
Benin, Total area of the country (excl. coastal water),1000 ha, E,11476,
Benin, Total freshwater withdrawal,10^9 m3/year, I,0.13,
Benin, Total population,1000 inhab, X,12123.2,
Benin, Total water withdrawal,10^9 m3/year, E,0.23,
Benin, Total water withdrawal per capita,m3/inhab/year, E,19.3,
Benin, Urban population,1000 inhab, X,5869.3,
Benin, Water withdrawal for livestock (watering and cleaning),10^9 m3/year, I,0.01,
Burkina Faso, % of agricultural GVA produced by irrigated agriculture, %, E,0.88,
Burkina Faso, % of total country area cultivated, %, E,22.4,
Burkina Faso, Agricultural water withdrawal,10^9 m3/year, I,0.42,
Burkina Faso, Agricultural water withdrawal as % of total renewable water resources, %, I,3.12,
Burkina Faso, Agricultural water withdrawal as % of total water withdrawal, %, I,51.43,
Burkina Faso, Agriculture, value added (% GDP), %, X,20.43
Burkina Faso, Agriculture, value added to GDP, current US$, X,3547719991
Burkina Faso, Arable land area,1000 ha, X,6000,
Burkina Faso, Collected municipal wastewater,10^9 m3/year, I, ,
Burkina Faso, Cultivated area (arable land + permanent crops),1000 ha, X,6143,
Burkina Faso, Direct use of treated municipal wastewater,10^9 m3/year, I, ,
Burkina Faso, Environmental Flow Requirements,10^9 m3/year, I,3.04,
Burkina Faso, Fresh groundwater withdrawal,10^9 m3/year, I,0.01,
Burkina Faso,GDP Deflator (2015), , X,113.42,
Burkina Faso, GDP per capita, current US$/inhab, X,830.93,
Burkina Faso,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.63,
Burkina Faso, Gross Domestic Product (GDP), current US$, X,17369059159,
Burkina Faso,Human Development Index (HDI) [highest = 1], , I,0.43,
Burkina Faso, Industrial water withdrawal,10^9 m3/year, I,0.02,
Burkina Faso, Industrial water withdrawal as % of total water withdrawal, %, I,2.65,
Burkina Faso, Industry, value added to GDP, current US$, X,5044696805
Burkina Faso, Irrigation water requirement,10^9 m3/year, I,0.13,
Burkina Faso, Irrigation water withdrawal,10^9 m3/year, I,0.42,
Burkina Faso,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,6.06,
Burkina Faso, Municipal water withdrawal,10^9 m3/year, I,0.38,
Burkina Faso, Municipal water withdrawal as % of total withdrawal, %, I,45.92,
Burkina Faso,Number of people undernourished (3-year average),1000 inhab, X,2900,
Burkina Faso, Permanent crops area,1000 ha, X,143,
Burkina Faso, Population density,inhab/km2, E,76.23,
Burkina Faso,Prevalence of undernourishment (3-year average), %, X,14.1,
Burkina Faso, Produced municipal wastewater,10^9 m3/year, I,0.05,
Burkina Faso, Rural population,1000 inhab, X,14505.43,
Burkina Faso,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,204.96,
Burkina Faso,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.07,
Burkina Faso,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,17.18,
Burkina Faso,SDG 6.4.1. Water Use Efficiency,US$/m3, I,13.36,
Burkina Faso,SDG 6.4.2. Water Stress, %, E,7.82,
Burkina Faso, Services, value added to GDP, current US$, X,7318764528
Burkina Faso, Total area of the country (excl. coastal water),1000 ha, E,27422,
Burkina Faso, Total freshwater withdrawal,10^9 m3/year, E,0.82,
Burkina Faso, Total population,1000 inhab, X,20903.27,
Burkina Faso, Total water withdrawal,10^9 m3/year, I,0.82,
Burkina Faso, Total water withdrawal per capita,m3/inhab/year, E,39.13,
Burkina Faso, Treated municipal wastewater,10^9 m3/year, I, ,
Burkina Faso, Urban population,1000 inhab, X,6397.91,
Burundi, % of agricultural GVA produced by irrigated agriculture, %, E,1.22,
Burundi, % of total country area cultivated, %, E,55.7,
Burundi, Agricultural water withdrawal,10^9 m3/year, I,0.22,
Burundi, Agricultural water withdrawal as % of total renewable water resources, %, I,1.77,
Burundi, Agricultural water withdrawal as % of total water withdrawal, %, E,79.26,
Burundi, Agriculture, value added (% GDP), %, X,36.03
Burundi, Agriculture, value added to GDP, current US$, X,1224618163
Burundi, Arable land area,1000 ha, X,1200,
Burundi, Cultivated area (arable land + permanent crops),1000 ha, X,1550,
Burundi, Environmental Flow Requirements,10^9 m3/year, I,9.79,
Burundi,GDP Deflator (2015), , X,103.69,
Burundi, GDP per capita, current US$/inhab, X,285.88,
Burundi,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.49,
Burundi, Gross Domestic Product (GDP), current US$, X,3399287173,
Burundi,Human Development Index (HDI) [highest = 1], , I,0.42,
Burundi, Industrial water withdrawal,10^9 m3/year, I,0.01,
Burundi, Industrial water withdrawal as % of total water withdrawal, %, E,5.36,
Burundi, Industry, value added to GDP, current US$, X,597198594
Burundi, Irrigation water requirement,10^9 m3/year, I,0.03,
Burundi, Irrigation water withdrawal,10^9 m3/year, I,0.2,
Burundi,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E,2.23,
Burundi, Municipal water withdrawal,10^9 m3/year, I,0.04,
Burundi, Municipal water withdrawal as % of total withdrawal, %, E,15.39,
Burundi, Permanent crops area,1000 ha, X,350,
Burundi, Population density,inhab/km2, E,427.26,
Burundi, Rural population,1000 inhab, X,10302.64,
Burundi,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,38.4,
Burundi,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.06,
Burundi,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,32.96,
Burundi,SDG 6.4.1. Water Use Efficiency,US$/m3, I,7.18,
Burundi,SDG 6.4.2. Water Stress, %, E,10.19,
Burundi, Services, value added to GDP, current US$, X,1472988919
Burundi, Total area of the country (excl. coastal water),1000 ha, E,2783,
Burundi, Total freshwater withdrawal,10^9 m3/year, E,0.28,
Burundi, Total population,1000 inhab, X,11890.78,
Burundi, Total water withdrawal,10^9 m3/year, E,0.28,
Burundi, Total water withdrawal per capita,m3/inhab/year, E,23.56,
Burundi, Urban population,1000 inhab, X,1636.59,
Burundi, Water withdrawal for livestock (watering and cleaning),10^9 m3/year, I,0.02,
Cameroon, % of agricultural GVA produced by irrigated agriculture, %, E,0.72,
Cameroon, % of total country area cultivated, %, E,16.3,
Cameroon, Agricultural water withdrawal,10^9 m3/year, I,0.74,
Cameroon, Agricultural water withdrawal as % of total renewable water resources, %, I,0.26,
Cameroon, Agricultural water withdrawal as % of total water withdrawal, %, E,67.71,
Cameroon, Agriculture, value added (% GDP), %, X,15.15
Cameroon, Agriculture, value added to GDP, current US$, X,6042379512
Cameroon, Arable land area,1000 ha, X,6200,
Cameroon, Cultivated area (arable land + permanent crops),1000 ha, X,7750,
Cameroon, Environmental Flow Requirements,10^9 m3/year, I,213.4,
Cameroon,GDP Deflator (2015), , X,112.06,
Cameroon, GDP per capita, current US$/inhab, X,1502.33,
Cameroon,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.59,
Cameroon, Gross Domestic Product (GDP), current US$, X,39880594927,
Cameroon,Human Development Index (HDI) [highest = 1], , I,0.56,
Cameroon, Industrial water withdrawal,10^9 m3/year, I,0.1,
Cameroon, Industrial water withdrawal as % of total water withdrawal, %, E,9.61,
Cameroon, Industry, value added to GDP, current US$, X,9468727232
Cameroon, Irrigation water requirement,10^9 m3/year, I,0.2,
Cameroon, Irrigation water withdrawal,10^9 m3/year, I,0.74,
Cameroon,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E,0.38,
Cameroon, Municipal water withdrawal,10^9 m3/year, I,0.25,
Cameroon, Municipal water withdrawal as % of total withdrawal, %, E,22.68,
Cameroon,Number of people undernourished (3-year average),1000 inhab, X,1700,
Cameroon, Permanent crops area,1000 ha, X,1550,
Cameroon, Population density,inhab/km2, E,55.83,
Cameroon,Prevalence of undernourishment (3-year average), %, X,6.7,
Cameroon, Produced municipal wastewater,10^9 m3/year, I,0.07,
Cameroon, Rural population,1000 inhab, X,11016.66,
Cameroon,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,80.78,
Cameroon,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.05,
Cameroon,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,76.07,
Cameroon,SDG 6.4.1. Water Use Efficiency,US$/m3, I,25.05,
Cameroon,SDG 6.4.2. Water Stress, %, E,1.56,
Cameroon, Services, value added to GDP, current US$, X,21036358898
Cameroon, Total area of the country (excl. coastal water),1000 ha, E,47544,
Cameroon, Total freshwater withdrawal,10^9 m3/year, E,1.09,
Cameroon, Total population,1000 inhab, X,26545.86,
Cameroon, Total water withdrawal,10^9 m3/year, E,1.09,
Cameroon, Total water withdrawal per capita,m3/inhab/year, E,41,
Cameroon, Urban population,1000 inhab, X,14941.52,
Central African Republic, % of agricultural GVA produced by irrigated agriculture, %, I,0.01,
Central African Republic, % of total country area cultivated, %, E,3.02,
Central African Republic, Agricultural water withdrawal,10^9 m3/year, I, ,
Central African Republic, Agricultural water withdrawal as % of total renewable water resources, %, I, ,
Central African Republic, Agricultural water withdrawal as % of total water withdrawal, %, I,0.55,
Central African Republic, Agriculture, value added (% GDP), %, X,32.01
Central African Republic, Agriculture, value added to GDP, current US$, X,743539338
Central African Republic, Arable land area,1000 ha, X,1800,
Central African Republic, Cultivated area (arable land + permanent crops),1000 ha, X,1880,
Central African Republic, Environmental Flow Requirements,10^9 m3/year, I,119.4,
Central African Republic,GDP Deflator (2015), , X,116.04,
Central African Republic, GDP per capita, current US$/inhab, X,481.02,
Central African Republic,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.65,
Central African Republic, Gross Domestic Product (GDP), current US$, X,2323197434,
Central African Republic,Human Development Index (HDI) [highest = 1], , I,0.38,
Central African Republic, Industrial water withdrawal,10^9 m3/year, I,0.01,
Central African Republic, Industrial water withdrawal as % of total water withdrawal, %, I,16.55,
Central African Republic, Industry, value added to GDP, current US$, X,468779243
Central African Republic, Irrigation water requirement,10^9 m3/year, I, ,
Central African Republic, Irrigation water withdrawal,10^9 m3/year, I, ,
Central African Republic,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.05,
Central African Republic, Municipal water withdrawal,10^9 m3/year, I,0.06,
Central African Republic, Municipal water withdrawal as % of total withdrawal, %, I,82.9,
Central African Republic,Number of people undernourished (3-year average),1000 inhab, X,2300,
Central African Republic, Permanent crops area,1000 ha, X,80,
Central African Republic, Population density,inhab/km2, E,7.75,
Central African Republic,Prevalence of undernourishment (3-year average), %, X,49.2,
Central African Republic, Rural population,1000 inhab, X,2844.36,
Central African Republic,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,33.67,
Central African Republic,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.13,
Central African Republic,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,14.5,
Central African Republic,SDG 6.4.1. Water Use Efficiency,US$/m3, E,17.59,
Central African Republic,SDG 6.4.2. Water Stress, %, E,0.34,
Central African Republic, Services, value added to GDP, current US$, X,1011306749
Central African Republic, Total area of the country (excl. coastal water),1000 ha, E,62298,
Central African Republic, Total freshwater withdrawal,10^9 m3/year, I,0.07,
Central African Republic, Total population,1000 inhab, X,4829.77,
Central African Republic, Total water withdrawal,10^9 m3/year, I,0.07,
Central African Republic, Total water withdrawal per capita,m3/inhab/year, E,15.01,
Central African Republic, Urban population,1000 inhab, X,2076.53,
Chad, % of agricultural GVA produced by irrigated agriculture, %, I,0.99,
Chad, % of total country area cultivated, %, E,4.08,
Chad, Agricultural water withdrawal,10^9 m3/year, I,0.67,
Chad, Agricultural water withdrawal as % of total renewable water resources, %, I,1.47,
Chad, Agricultural water withdrawal as % of total water withdrawal, %, I,76.42,
Chad, Agriculture, value added (% GDP), %, X,31.44
Chad, Agriculture, value added to GDP, current US$, X,3506560694
Chad, Arable land area,1000 ha, X,5200,
Chad, Cultivated area (arable land + permanent crops),1000 ha, X,5238,
Chad, Environmental Flow Requirements,10^9 m3/year, I,25.22,
Chad,GDP Deflator (2015), , X,99.98,
Chad, GDP per capita, current US$/inhab, X,679.07,
Chad,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.71,
Chad, Gross Domestic Product (GDP), current US$, X,11154266851,
Chad,Human Development Index (HDI) [highest = 1], , I,0.4,
Chad, Industrial water withdrawal,10^9 m3/year, I,0.1,
Chad, Industrial water withdrawal as % of total water withdrawal, %, I,11.79,
Chad, Industry, value added to GDP, current US$, X,2432935827
Chad, Irrigation water requirement,10^9 m3/year, I,0.21,
Chad, Irrigation water withdrawal,10^9 m3/year, I,0.67,
Chad,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,1.92,
Chad, Municipal water withdrawal,10^9 m3/year, I,0.1,
Chad, Municipal water withdrawal as % of total withdrawal, %, I,11.79,
Chad,Number of people undernourished (3-year average),1000 inhab, X,5100,
Chad, Permanent crops area,1000 ha, X,38,
Chad, Population density,inhab/km2, E,12.79,
Chad,Prevalence of undernourishment (3-year average), %, X,31.7,
Chad, Rural population,1000 inhab, X,12454.83,
Chad,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,23.47,
Chad,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.05,
Chad,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,65.01,
Chad,SDG 6.4.1. Water Use Efficiency,US$/m3, I,10.47,
Chad,SDG 6.4.2. Water Stress, %, E,4.29,
Chad, Services, value added to GDP, current US$, X,6740048698
Chad, Total area of the country (excl. coastal water),1000 ha, E,128400,
Chad, Total freshwater withdrawal,10^9 m3/year, I,0.88,
Chad, Total population,1000 inhab, X,16425.86,
Chad, Total water withdrawal,10^9 m3/year, I,0.88,
Chad, Total water withdrawal per capita,m3/inhab/year, E,53.55,
Chad, Urban population,1000 inhab, X,3830.26,
Comoros, % of agricultural GVA produced by irrigated agriculture, %, E,0.13,
Comoros, % of total country area cultivated, %, E,62.33,
Comoros, Agricultural water withdrawal,10^9 m3/year, I, ,
Comoros, Agricultural water withdrawal as % of total renewable water resources, %, I,0.39,
Comoros, Agricultural water withdrawal as % of total water withdrawal, %, I,47,
Comoros, Agriculture, value added (% GDP), %, X,36.7
Comoros, Agriculture, value added to GDP, current US$, X,453399865
Comoros, Arable land area,1000 ha, X,66,
Comoros, Cultivated area (arable land + permanent crops),1000 ha, X,116,
Comoros,GDP Deflator (2015), , X,105.25,
Comoros, GDP per capita, current US$/inhab, X,1420.65,
Comoros, Gross Domestic Product (GDP), current US$, X,1235400317,
Comoros,Human Development Index (HDI) [highest = 1], , I,0.54,
Comoros, Industrial water withdrawal,10^9 m3/year, I, ,
Comoros, Industrial water withdrawal as % of total water withdrawal, %, I,5,
Comoros, Industry, value added to GDP, current US$, X,99483788
Comoros,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.83,
Comoros, Municipal water withdrawal,10^9 m3/year, I, ,
Comoros, Municipal water withdrawal as % of total withdrawal, %, I,48,
Comoros,Number of people undernourished (3-year average),1000 inhab, X,200,
Comoros, Permanent crops area,1000 ha, X,50,
Comoros, Population density,inhab/km2, E,467.28,
Comoros,Prevalence of undernourishment (3-year average), %, X,20.2,
Comoros, Rural population,1000 inhab, X,614.11,
Comoros,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,189.04,
Comoros,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.12,
Comoros,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,126.11,
Comoros,SDG 6.4.1. Water Use Efficiency,US$/m3, I,70.04,
Comoros,SDG 6.4.2. Water Stress, %, I,0.83,
Comoros, Services, value added to GDP, current US$, X,637111264
Comoros, Total area of the country (excl. coastal water),1000 ha, E,186.1,
Comoros, Total freshwater withdrawal,10^9 m3/year, I,0.01,
Comoros, Total population,1000 inhab, X,869.6,
Comoros, Total water withdrawal,10^9 m3/year, I,0.01,
Comoros, Total water withdrawal per capita,m3/inhab/year, E,11.5,
Comoros, Urban population,1000 inhab, X,255.49,
Congo, % of agricultural GVA produced by irrigated agriculture, %, E,0.12,
Congo, % of total country area cultivated, %, E,1.84,
Congo, Agricultural water withdrawal,10^9 m3/year, I, ,
Congo, Agricultural water withdrawal as % of total renewable water resources, %, I, ,
Congo, Agricultural water withdrawal as % of total water withdrawal, %, E,4.36,
Congo, Agriculture, value added (% GDP), %, X,7.22
Congo, Agriculture, value added to GDP, current US$, X,729656444
Congo, Arable land area,1000 ha, X,550,
Congo, Cultivated area (arable land + permanent crops),1000 ha, X,628,
Congo, Environmental Flow Requirements,10^9 m3/year, I,664.4,
Congo, Fresh groundwater withdrawal,10^9 m3/year, I,0.02,
Congo, Fresh surface water withdrawal,10^9 m3/year, I,0.02,
Congo,GDP Deflator (2015), , X,117.02,
Congo, GDP per capita, current US$/inhab, X,1830.38,
Congo,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.59,
Congo, Gross Domestic Product (GDP), current US$, X,10100209828,
Congo,Human Development Index (HDI) [highest = 1], , I,0.61,
Congo, Industrial water withdrawal,10^9 m3/year, I,0.02,
Congo, Industrial water withdrawal as % of total water withdrawal, %, E,26.17,
Congo, Industry, value added to GDP, current US$, X,4518797783
Congo, Irrigation water requirement,10^9 m3/year, I, ,
Congo,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.01,
Congo, Municipal water withdrawal,10^9 m3/year, I,0.06,
Congo, Municipal water withdrawal as % of total withdrawal, %, E,69.47,
Congo,Number of people undernourished (3-year average),1000 inhab, X,1600,
Congo, Permanent crops area,1000 ha, X,78,
Congo, Population density,inhab/km2, E,16.13,
Congo,Prevalence of undernourishment (3-year average), %, X,29.9,
Congo, Rural population,1000 inhab, X,1829.56,
Congo,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,160.9,
Congo,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.18,
Congo,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,60.81,
Congo,SDG 6.4.1. Water Use Efficiency,US$/m3, I,84.36,
Congo,SDG 6.4.2. Water Stress, %, E,0.03,
Congo, Services, value added to GDP, current US$, X,4532825319
Congo, Total area of the country (excl. coastal water),1000 ha, E,34200,
Congo, Total freshwater withdrawal,10^9 m3/year, I,0.05,
Congo, Total population,1000 inhab, X,5518.09,
Congo, Total water withdrawal,10^9 m3/year, E,0.09,
Congo, Total water withdrawal per capita,m3/inhab/year, E,16.62,
Congo, Treated municipal wastewater,10^9 m3/year, I, ,
Congo, Urban population,1000 inhab, X,3857.35,
Côte d'Ivoire, % of agricultural GVA produced by irrigated agriculture, %, I,1.57,
Côte d'Ivoire, % of total country area cultivated, %, E,24.81,
Côte d'Ivoire, Agricultural water withdrawal,10^9 m3/year, I,0.6,
Côte d'Ivoire, Agricultural water withdrawal as % of total renewable water resources, %, I,0.71,
Côte d'Ivoire, Agricultural water withdrawal as % of total water withdrawal, %, I,51.64,
Côte d'Ivoire, Agriculture, value added (% GDP), %, X,19.97
Côte d'Ivoire, Agriculture, value added to GDP, current US$, X,12207677218
Côte d'Ivoire, Arable land area,1000 ha, X,3500,
Côte d'Ivoire, Cultivated area (arable land + permanent crops),1000 ha, X,8000,
Côte d'Ivoire, Environmental Flow Requirements,10^9 m3/year, I,61.3,
Côte d'Ivoire,GDP Deflator (2015), , X,100.22,
Côte d'Ivoire, GDP per capita, current US$/inhab, X,2317.93,
Côte d'Ivoire,Gender Inequality Index (GII) [equality = 0; inequality = 1), , I,0.68,
Côte d'Ivoire, Gross Domestic Product (GDP), current US$, X,61142879719,
Côte d'Ivoire,Human Development Index (HDI) [highest = 1], , I,0.52,
Côte d'Ivoire, Industrial water withdrawal,10^9 m3/year, I,0.24,
Côte d'Ivoire, Industrial water withdrawal as % of total water withdrawal, %, I,20.83,
Côte d'Ivoire, Industry, value added to GDP, current US$, X,11129057832
Côte d'Ivoire, Irrigation water requirement,10^9 m3/year, I,0.14,
