Country, Variable, Unit, Symbol,"""2020"""
Bangladesh, Surface water: leaving the country to other countries (total),10^9 m3/year, I,0.06
Bangladesh, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,0.06
Bangladesh, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Bangladesh, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Bangladesh, Surface water: total external renewable,10^9 m3/year, I,1122
Bangladesh, Surface water: total flow of border rivers,10^9 m3/year, I, 
Bangladesh, Total dam capacity,km3, E,6.48
Bangladesh, Total freshwater withdrawal,10^9 m3/year, I,35.87
Bangladesh, Total internal renewable water resources (IRWR),10^9 m3/year, I,105
Bangladesh, Total internal renewable water resources per capita,m3/inhab/year, E,637.56
Bangladesh, Total renewable groundwater,10^9 m3/year, I,21.12
Bangladesh, Total renewable surface water,10^9 m3/year, I,1205.91
Bangladesh, Total renewable water resources,10^9 m3/year, I,1227.03
Bangladesh, Total renewable water resources per capita,m3/inhab/year, E,7450.58
Bangladesh, Total water withdrawal,10^9 m3/year, I,35.87
Bangladesh, Total water withdrawal per capita,m3/inhab/year, E,217.8
Bangladesh, Water resources: total external renewable,10^9 m3/year, I,1122.03
Benin, Agricultural water withdrawal,10^9 m3/year, I,0.06
Benin, Agricultural water withdrawal as % of total renewable water resources, %, I,0.22
Benin, Agricultural water withdrawal as % of total water withdrawal, %, E,25.21
Benin, Dam capacity per capita,m3/inhab, E,1.94
Benin, Dependency ratio, %, I,60.97
Benin, Environmental Flow Requirements,10^9 m3/year, I,13.06
Benin, Fresh groundwater withdrawal,10^9 m3/year, I,0.04
Benin, Fresh surface water withdrawal,10^9 m3/year, I,0.09
Benin, Groundwater produced internally,10^9 m3/year, I,1.8
Benin, Groundwater: accounted inflow,10^9 m3/year, I, 
Benin, Groundwater: accounted outflow to other countries,10^9 m3/year, I, 
Benin, Groundwater: entering the country (total),10^9 m3/year, I, 
Benin, Groundwater: leaving the country to other countries (total),10^9 m3/year, I, 
Benin, Industrial water withdrawal,10^9 m3/year, I,0.03
Benin, Industrial water withdrawal as % of total water withdrawal, %, E,12.82
Benin, Interannual variability (WRI), , I,1.2
Benin, Irrigation water requirement,10^9 m3/year, I,0.01
Benin, Irrigation water withdrawal,10^9 m3/year, I,0.04
Benin, Long-term average annual precipitation in depth, mm/year, I,1039
Benin, Long-term average annual precipitation in volume,10^9 m3/year, I,119.24
Benin,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.49
Benin, Municipal water withdrawal,10^9 m3/year, I,0.14
Benin, Municipal water withdrawal as % of total withdrawal, %, E,61.97
Benin, National Rainfall Index (NRI), mm/year, I,959.5
Benin, Overlap between surface water and groundwater,10^9 m3/year, I,1.5
Benin, Overlap: between surface water and groundwater,10^9 m3/year, I,1.5
Benin,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,70.47
Benin,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.69
Benin,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,48.97
Benin,SDG 6.4.1. Water Use Efficiency,US$/m3, I,39.55
Benin,SDG 6.4.2. Water Stress, %, E,0.98
Benin, Seasonal variability (WRI), , I,3
Benin, Surface water produced internally,10^9 m3/year, I,10
Benin, Surface water: accounted flow of border rivers,10^9 m3/year, I,16.09
Benin, Surface water: accounted inflow,10^9 m3/year, I,16.09
Benin, Surface water: entering the country (total),10^9 m3/year, I, 
Benin, Surface water: inflow not submitted to treaties,10^9 m3/year, I, 
Benin, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Benin, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Benin, Surface water: leaving the country to other countries (total),10^9 m3/year, I,5.8
Benin, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,5.8
Benin, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Benin, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Benin, Surface water: total external renewable,10^9 m3/year, I,16.09
Benin, Surface water: total flow of border rivers,10^9 m3/year, I,32.19
Benin, Total dam capacity,km3, E,0.02
Benin, Total freshwater withdrawal,10^9 m3/year, I,0.13
Benin, Total internal renewable water resources (IRWR),10^9 m3/year, I,10.3
Benin, Total internal renewable water resources per capita,m3/inhab/year, E,849.61
Benin, Total renewable groundwater,10^9 m3/year, I,1.8
Benin, Total renewable surface water,10^9 m3/year, I,26.09
Benin, Total renewable water resources,10^9 m3/year, I,26.39
Benin, Total renewable water resources per capita,m3/inhab/year, E,2176.82
Benin, Total water withdrawal,10^9 m3/year, E,0.23
Benin, Total water withdrawal per capita,m3/inhab/year, E,19.3
Benin, Water resources: total external renewable,10^9 m3/year, I,16.09
Benin, Water withdrawal for livestock (watering and cleaning),10^9 m3/year, I,0.01
Burkina Faso, Agricultural water withdrawal,10^9 m3/year, I,0.42
Burkina Faso, Agricultural water withdrawal as % of total renewable water resources, %, I,3.12
Burkina Faso, Agricultural water withdrawal as % of total water withdrawal, %, I,51.43
Burkina Faso, Collected municipal wastewater,10^9 m3/year, I, 
Burkina Faso, Dam capacity per capita,m3/inhab, E,255.35
Burkina Faso, Dependency ratio, %, I,7.41
Burkina Faso, Direct use of treated municipal wastewater,10^9 m3/year, I, 
Burkina Faso, Environmental Flow Requirements,10^9 m3/year, I,3.04
Burkina Faso, Exploitable: regular renewable groundwater,10^9 m3/year, I, 
Burkina Faso, Exploitable: regular renewable surface water,10^9 m3/year, I,4.75
Burkina Faso, Exploitable: total renewable surface water,10^9 m3/year, I,4.75
Burkina Faso, Fresh groundwater withdrawal,10^9 m3/year, I,0.01
Burkina Faso, Groundwater produced internally,10^9 m3/year, I,9.5
Burkina Faso, Groundwater: accounted inflow,10^9 m3/year, I, 
Burkina Faso, Groundwater: accounted outflow to other countries,10^9 m3/year, I, 
Burkina Faso, Groundwater: entering the country (total),10^9 m3/year, I, 
Burkina Faso, Groundwater: leaving the country to other countries (total),10^9 m3/year, I, 
Burkina Faso, Industrial water withdrawal,10^9 m3/year, I,0.02
Burkina Faso, Industrial water withdrawal as % of total water withdrawal, %, I,2.65
Burkina Faso, Interannual variability (WRI), , I,1.5
Burkina Faso, Irrigation water requirement,10^9 m3/year, I,0.13
Burkina Faso, Irrigation water withdrawal,10^9 m3/year, I,0.42
Burkina Faso, Long-term average annual precipitation in depth, mm/year, I,748
Burkina Faso, Long-term average annual precipitation in volume,10^9 m3/year, I,205.12
Burkina Faso,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,6.06
Burkina Faso, Municipal water withdrawal,10^9 m3/year, I,0.38
Burkina Faso, Municipal water withdrawal as % of total withdrawal, %, I,45.92
Burkina Faso, National Rainfall Index (NRI), mm/year, I,759
Burkina Faso, Overlap between surface water and groundwater,10^9 m3/year, I,5
Burkina Faso, Overlap: between surface water and groundwater,10^9 m3/year, I,5
Burkina Faso, Produced municipal wastewater,10^9 m3/year, I,0.05
Burkina Faso,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,204.96
Burkina Faso,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.07
Burkina Faso,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,17.18
Burkina Faso,SDG 6.4.1. Water Use Efficiency,US$/m3, I,13.36
Burkina Faso,SDG 6.4.2. Water Stress, %, E,7.82
Burkina Faso, Seasonal variability (WRI), , I,4
Burkina Faso, Surface water produced internally,10^9 m3/year, I,8
Burkina Faso, Surface water: accounted flow of border rivers,10^9 m3/year, I, 
Burkina Faso, Surface water: accounted inflow,10^9 m3/year, I,1
Burkina Faso, Surface water: entering the country (total),10^9 m3/year, I,1
Burkina Faso, Surface water: inflow not submitted to treaties,10^9 m3/year, I,1
Burkina Faso, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Burkina Faso, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Burkina Faso, Surface water: leaving the country to other countries (total),10^9 m3/year, I,15.2
Burkina Faso, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,15.2
Burkina Faso, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Burkina Faso, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Burkina Faso, Surface water: total external renewable,10^9 m3/year, I,1
Burkina Faso, Surface water: total flow of border rivers,10^9 m3/year, I, 
Burkina Faso, Total dam capacity,km3, E,5.34
Burkina Faso, Total exploitable water resources,10^9 m3/year, I,4.75
Burkina Faso, Total freshwater withdrawal,10^9 m3/year, E,0.82
Burkina Faso, Total internal renewable water resources (IRWR),10^9 m3/year, I,12.5
Burkina Faso, Total internal renewable water resources per capita,m3/inhab/year, E,597.99
Burkina Faso, Total renewable groundwater,10^9 m3/year, I,9.5
Burkina Faso, Total renewable surface water,10^9 m3/year, I,9
Burkina Faso, Total renewable water resources,10^9 m3/year, I,13.5
Burkina Faso, Total renewable water resources per capita,m3/inhab/year, E,645.83
Burkina Faso, Total water withdrawal,10^9 m3/year, I,0.82
Burkina Faso, Total water withdrawal per capita,m3/inhab/year, E,39.13
Burkina Faso, Treated municipal wastewater,10^9 m3/year, I, 
Burkina Faso, Water resources: total external renewable,10^9 m3/year, I,1
Burundi, Agricultural water withdrawal,10^9 m3/year, I,0.22
Burundi, Agricultural water withdrawal as % of total renewable water resources, %, I,1.77
Burundi, Agricultural water withdrawal as % of total water withdrawal, %, E,79.26
Burundi, Dependency ratio, %, I,19.75
Burundi, Environmental Flow Requirements,10^9 m3/year, I,9.79
Burundi, Groundwater produced internally,10^9 m3/year, I,7.47
Burundi, Groundwater: accounted inflow,10^9 m3/year, I, 
Burundi, Groundwater: accounted outflow to other countries,10^9 m3/year, I, 
Burundi, Groundwater: entering the country (total),10^9 m3/year, I, 
Burundi, Groundwater: leaving the country to other countries (total),10^9 m3/year, I, 
Burundi, Industrial water withdrawal,10^9 m3/year, I,0.01
Burundi, Industrial water withdrawal as % of total water withdrawal, %, E,5.36
Burundi, Interannual variability (WRI), , I,1.4
Burundi, Irrigation water requirement,10^9 m3/year, I,0.03
Burundi, Irrigation water withdrawal,10^9 m3/year, I,0.2
Burundi, Long-term average annual precipitation in depth, mm/year, I,1274
Burundi, Long-term average annual precipitation in volume,10^9 m3/year, I,35.46
Burundi,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E,2.23
Burundi, Municipal water withdrawal,10^9 m3/year, I,0.04
Burundi, Municipal water withdrawal as % of total withdrawal, %, E,15.39
Burundi, National Rainfall Index (NRI), mm/year, I,997.8
Burundi, Overlap between surface water and groundwater,10^9 m3/year, I,7.47
Burundi, Overlap: between surface water and groundwater,10^9 m3/year, I,7.47
Burundi,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,38.4
Burundi,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.06
Burundi,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,32.96
Burundi,SDG 6.4.1. Water Use Efficiency,US$/m3, I,7.18
Burundi,SDG 6.4.2. Water Stress, %, E,10.19
Burundi, Seasonal variability (WRI), , I,2.4
Burundi, Surface water produced internally,10^9 m3/year, I,10.06
Burundi, Surface water: accounted flow of border rivers,10^9 m3/year, I,2.35
Burundi, Surface water: accounted inflow,10^9 m3/year, I,2.48
Burundi, Surface water: entering the country (total),10^9 m3/year, I,0.13
Burundi, Surface water: inflow not submitted to treaties,10^9 m3/year, I,0.13
Burundi, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Burundi, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Burundi, Surface water: leaving the country to other countries (total),10^9 m3/year, I,7.6
Burundi, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,7.6
Burundi, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Burundi, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Burundi, Surface water: total external renewable,10^9 m3/year, I,2.48
Burundi, Surface water: total flow of border rivers,10^9 m3/year, I,4.7
Burundi, Total freshwater withdrawal,10^9 m3/year, E,0.28
Burundi, Total internal renewable water resources (IRWR),10^9 m3/year, I,10.06
Burundi, Total internal renewable water resources per capita,m3/inhab/year, E,846.03
Burundi, Total renewable groundwater,10^9 m3/year, I,7.47
Burundi, Total renewable surface water,10^9 m3/year, I,12.54
Burundi, Total renewable water resources,10^9 m3/year, I,12.54
Burundi, Total renewable water resources per capita,m3/inhab/year, E,1054.26
Burundi, Total water withdrawal,10^9 m3/year, E,0.28
Burundi, Total water withdrawal per capita,m3/inhab/year, E,23.56
Burundi, Water resources: total external renewable,10^9 m3/year, I,2.48
Burundi, Water withdrawal for livestock (watering and cleaning),10^9 m3/year, I,0.02
Cameroon, Agricultural water withdrawal,10^9 m3/year, I,0.74
Cameroon, Agricultural water withdrawal as % of total renewable water resources, %, I,0.26
Cameroon, Agricultural water withdrawal as % of total water withdrawal, %, E,67.71
Cameroon, Dam capacity per capita,m3/inhab, E,588.06
Cameroon, Dependency ratio, %, I,3.58
Cameroon, Environmental Flow Requirements,10^9 m3/year, I,213.4
Cameroon, Groundwater produced internally,10^9 m3/year, I,100
Cameroon, Groundwater: accounted inflow,10^9 m3/year, I, 
Cameroon, Groundwater: entering the country (total),10^9 m3/year, I, 
Cameroon, Industrial water withdrawal,10^9 m3/year, I,0.1
Cameroon, Industrial water withdrawal as % of total water withdrawal, %, E,9.61
Cameroon, Interannual variability (WRI), , I,0.9
Cameroon, Irrigation water requirement,10^9 m3/year, I,0.2
Cameroon, Irrigation water withdrawal,10^9 m3/year, I,0.74
Cameroon, Long-term average annual precipitation in depth, mm/year, I,1604
Cameroon, Long-term average annual precipitation in volume,10^9 m3/year, I,762.61
Cameroon,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E,0.38
Cameroon, Municipal water withdrawal,10^9 m3/year, I,0.25
Cameroon, Municipal water withdrawal as % of total withdrawal, %, E,22.68
Cameroon, National Rainfall Index (NRI), mm/year, I,1694
Cameroon, Overlap between surface water and groundwater,10^9 m3/year, I,95
Cameroon, Overlap: between surface water and groundwater,10^9 m3/year, I,95
Cameroon, Produced municipal wastewater,10^9 m3/year, I,0.07
Cameroon,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,80.78
Cameroon,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.05
Cameroon,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,76.07
Cameroon,SDG 6.4.1. Water Use Efficiency,US$/m3, I,25.05
Cameroon,SDG 6.4.2. Water Stress, %, E,1.56
Cameroon, Seasonal variability (WRI), , I,3.5
Cameroon, Surface water produced internally,10^9 m3/year, I,268
Cameroon, Surface water: accounted flow of border rivers,10^9 m3/year, I,6.15
Cameroon, Surface water: accounted inflow,10^9 m3/year, I,10.15
Cameroon, Surface water: entering the country (total),10^9 m3/year, I,4
Cameroon, Surface water: inflow not submitted to treaties,10^9 m3/year, I,4
Cameroon, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Cameroon, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Cameroon, Surface water: leaving the country to other countries (total),10^9 m3/year, I,40
Cameroon, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,40
Cameroon, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Cameroon, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Cameroon, Surface water: total external renewable,10^9 m3/year, I,10.15
Cameroon, Surface water: total flow of border rivers,10^9 m3/year, I,12.3
Cameroon, Total dam capacity,km3, E,15.61
Cameroon, Total freshwater withdrawal,10^9 m3/year, E,1.09
Cameroon, Total internal renewable water resources (IRWR),10^9 m3/year, I,273
Cameroon, Total internal renewable water resources per capita,m3/inhab/year, E,10284.09
Cameroon, Total renewable groundwater,10^9 m3/year, I,100
Cameroon, Total renewable surface water,10^9 m3/year, I,278.15
Cameroon, Total renewable water resources,10^9 m3/year, I,283.15
Cameroon, Total renewable water resources per capita,m3/inhab/year, E,10666.45
Cameroon, Total water withdrawal,10^9 m3/year, E,1.09
Cameroon, Total water withdrawal per capita,m3/inhab/year, E,41
Cameroon, Water resources: total external renewable,10^9 m3/year, I,10.15
Central African Republic, Agricultural water withdrawal,10^9 m3/year, I, 
Central African Republic, Agricultural water withdrawal as % of total renewable water resources, %, I, 
Central African Republic, Agricultural water withdrawal as % of total water withdrawal, %, I,0.55
Central African Republic, Dependency ratio, %, I, 
Central African Republic, Environmental Flow Requirements,10^9 m3/year, I,119.4
Central African Republic, Groundwater produced internally,10^9 m3/year, I,56
Central African Republic, Groundwater: accounted inflow,10^9 m3/year, I, 
Central African Republic, Groundwater: accounted outflow to other countries,10^9 m3/year, I, 
Central African Republic, Groundwater: entering the country (total),10^9 m3/year, I, 
Central African Republic, Groundwater: leaving the country to other countries (total),10^9 m3/year, I, 
Central African Republic, Industrial water withdrawal,10^9 m3/year, I,0.01
Central African Republic, Industrial water withdrawal as % of total water withdrawal, %, I,16.55
Central African Republic, Interannual variability (WRI), , I,1.2
Central African Republic, Irrigation water requirement,10^9 m3/year, I, 
Central African Republic, Irrigation water withdrawal,10^9 m3/year, I, 
Central African Republic, Long-term average annual precipitation in depth, mm/year, I,1343
Central African Republic, Long-term average annual precipitation in volume,10^9 m3/year, I,836.66
Central African Republic,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,0.05
Central African Republic, Municipal water withdrawal,10^9 m3/year, I,0.06
Central African Republic, Municipal water withdrawal as % of total withdrawal, %, I,82.9
Central African Republic, National Rainfall Index (NRI), mm/year, I,1331
Central African Republic, Overlap between surface water and groundwater,10^9 m3/year, I,56
Central African Republic, Overlap: between surface water and groundwater,10^9 m3/year, I,56
Central African Republic,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,33.67
Central African Republic,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.13
Central African Republic,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,14.5
Central African Republic,SDG 6.4.1. Water Use Efficiency,US$/m3, E,17.59
Central African Republic,SDG 6.4.2. Water Stress, %, E,0.34
Central African Republic, Seasonal variability (WRI), , I,3.6
Central African Republic, Surface water produced internally,10^9 m3/year, I,141
Central African Republic, Surface water: accounted flow of border rivers,10^9 m3/year, I, 
Central African Republic, Surface water: accounted inflow,10^9 m3/year, I, 
Central African Republic, Surface water: entering the country (total),10^9 m3/year, I, 
Central African Republic, Surface water: inflow not submitted to treaties,10^9 m3/year, I, 
Central African Republic, Surface water: inflow secured through treaties,10^9 m3/year, I, 
Central African Republic, Surface water: inflow submitted to treaties,10^9 m3/year, I, 
Central African Republic, Surface water: leaving the country to other countries (total),10^9 m3/year, I,141
Central African Republic, Surface water: outflow to other countries not submitted to treaties,10^9 m3/year, I,141
Central African Republic, Surface water: outflow to other countries secured through treaties,10^9 m3/year, I, 
Central African Republic, Surface water: outflow to other countries submitted to treaties,10^9 m3/year, I, 
Central African Republic, Surface water: total external renewable,10^9 m3/year, I, 
Central African Republic, Total freshwater withdrawal,10^9 m3/year, I,0.07
Central African Republic, Total internal renewable water resources (IRWR),10^9 m3/year, I,141
Central African Republic, Total internal renewable water resources per capita,m3/inhab/year, E,29193.95
Central African Republic, Total renewable groundwater,10^9 m3/year, I,56
Central African Republic, Total renewable surface water,10^9 m3/year, I,141
Central African Republic, Total renewable water resources,10^9 m3/year, I,141
Central African Republic, Total renewable water resources per capita,m3/inhab/year, E,29193.95
Central African Republic, Total water withdrawal,10^9 m3/year, I,0.07
Central African Republic, Total water withdrawal per capita,m3/inhab/year, E,15.01
Central African Republic, Water resources: total external renewable,10^9 m3/year, I, 
Chad, Agricultural water withdrawal,10^9 m3/year, I,0.67
Chad, Agricultural water withdrawal as % of total renewable water resources, %, I,1.47
Chad, Agricultural water withdrawal as % of total water withdrawal, %, I,76.42
Chad, Dependency ratio, %, I,67.18
Chad, Environmental Flow Requirements,10^9 m3/year, I,25.22
Chad, Groundwater produced internally,10^9 m3/year, I,11.5
Chad, Groundwater: accounted inflow,10^9 m3/year, I, 
Chad, Groundwater: accounted outflow to other countries,10^9 m3/year, I, 
Chad, Groundwater: entering the country (total),10^9 m3/year, I, 
Chad, Groundwater: leaving the country to other countries (total),10^9 m3/year, I, 
Chad, Industrial water withdrawal,10^9 m3/year, I,0.1
Chad, Industrial water withdrawal as % of total water withdrawal, %, I,11.79
Chad, Interannual variability (WRI), , I,1.9
Chad, Irrigation water requirement,10^9 m3/year, I,0.21
Chad, Irrigation water withdrawal,10^9 m3/year, I,0.67
Chad, Long-term average annual precipitation in depth, mm/year, I,322
Chad, Long-term average annual precipitation in volume,10^9 m3/year, I,413.45
Chad,MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I,1.92
Chad, Municipal water withdrawal,10^9 m3/year, I,0.1
Chad, Municipal water withdrawal as % of total withdrawal, %, I,11.79
Chad, National Rainfall Index (NRI), mm/year, I,648.2
Chad, Overlap between surface water and groundwater,10^9 m3/year, I,10
Chad, Overlap: between surface water and groundwater,10^9 m3/year, I,10
Chad,SDG 6.4.1. Industrial Water Use Efficiency,US$/m3, E,23.47
Chad,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,US$/m3, E,0.05
Chad,SDG 6.4.1. Services Water Use Efficiency,US$/m3, E,65.01
Chad,SDG 6.4.1. Water Use Efficiency,US$/m3, I,10.47
